,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
513,"exercise,",332,630,188,29,2,426.0,644.5,0.02011095700416089,0.09894736842105263,0
514,described,551,630,197,25,2,649.5,642.5,0.017337031900138695,0.1036842105263158,0
515,by,770,631,43,29,2,791.5,645.5,0.02011095700416089,0.022631578947368423,0
516,the,839,631,61,24,2,869.5,643.0,0.016643550624133148,0.032105263157894734,0
517,physician,924,630,198,31,2,1023.0,645.5,0.021497919556171984,0.10421052631578948,0
518,"Galen,",1145,631,123,28,2,1206.5,645.0,0.019417475728155338,0.06473684210526316,0
519,consists,1300,630,172,25,2,1386.0,642.5,0.017337031900138695,0.09052631578947369,0
520,of,1498,632,39,23,2,1517.5,643.5,0.0159500693481276,0.020526315789473684,0
521,placing,1562,630,154,31,2,1639.0,645.5,0.021497919556171984,0.08105263157894736,0
522,the,1741,631,61,24,2,1771.5,643.0,0.016643550624133148,0.032105263157894734,0
523,halteres,1,722,173,24,2,87.5,734.0,0.016643550624133148,0.09105263157894737,0
524,six,201,721,63,25,2,232.5,733.5,0.017337031900138695,0.03315789473684211,0
525,feet,289,723,83,23,2,330.5,734.5,0.0159500693481276,0.04368421052631579,0
526,apart,398,725,106,27,2,451.0,738.5,0.01872399445214979,0.05578947368421053,0
527,and,530,722,64,24,2,562.0,734.0,0.016643550624133148,0.03368421052631579,0
528,standing,619,721,173,31,2,705.5,736.5,0.021497919556171984,0.09105263157894737,0
529,between,814,722,154,24,2,891.0,734.0,0.016643550624133148,0.08105263157894736,0
530,them.,993,722,99,24,2,1042.5,734.0,0.016643550624133148,0.05210526315789474,0
531,The,1124,722,62,24,2,1155.0,734.0,0.016643550624133148,0.03263157894736842,0
532,exerciser,1212,721,193,25,2,1308.5,733.5,0.017337031900138695,0.10157894736842105,0
533,picks,1430,721,108,31,2,1484.0,736.5,0.021497919556171984,0.056842105263157895,0
534,up,1563,729,42,23,2,1584.0,740.5,0.0159500693481276,0.022105263157894735,0
535,the,1631,722,61,24,2,1661.5,734.0,0.016643550624133148,0.032105263157894734,0
536,left,1719,722,83,24,2,1760.5,734.0,0.016643550624133148,0.04368421052631579,0
537,haltere,1,812,151,24,2,76.5,824.0,0.016643550624133148,0.07947368421052632,0
538,with,176,811,88,25,2,220.0,823.5,0.017337031900138695,0.04631578947368421,0
539,his,287,811,63,25,2,318.5,823.5,0.017337031900138695,0.03315789473684211,0
540,right,376,811,106,31,2,429.0,826.5,0.021497919556171984,0.05578947368421053,0
541,"hand,",507,812,101,28,2,557.5,826.0,0.019417475728155338,0.053157894736842105,0
542,and,640,812,64,24,2,672.0,824.0,0.016643550624133148,0.03368421052631579,0
543,then,729,812,85,24,2,771.5,824.0,0.016643550624133148,0.04473684210526316,0
544,the,839,812,61,24,2,869.5,824.0,0.016643550624133148,0.032105263157894734,0
545,right,926,811,106,31,2,979.0,826.5,0.021497919556171984,0.05578947368421053,0
546,haltere,1057,812,151,24,2,1132.5,824.0,0.016643550624133148,0.07947368421052632,0
547,with,1232,811,88,25,2,1276.0,823.5,0.017337031900138695,0.04631578947368421,0
