,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
612,been,1430,1172,88,24,2,1474.0,1184.0,0.016643550624133148,0.04631578947368421,0
613,impressed,1544,1171,194,31,2,1641.0,1186.5,0.021497919556171984,0.10210526315789474,0
614,by,1760,1172,43,29,2,1781.5,1186.5,0.02011095700416089,0.022631578947368423,0
615,a,1828,1179,19,17,2,1837.5,1187.5,0.011789181692094313,0.01,0
616,sample,3,1262,127,30,2,66.5,1277.0,0.020804438280166437,0.0668421052631579,0
617,of,156,1263,39,23,2,175.5,1274.5,0.0159500693481276,0.020526315789473684,0
618,his,221,1261,63,25,2,252.5,1273.5,0.017337031900138695,0.03315789473684211,0
619,astronomical,310,1261,259,25,2,439.5,1273.5,0.017337031900138695,0.13631578947368422,0
620,drawings.,595,1261,189,31,2,689.5,1276.5,0.021497919556171984,0.09947368421052631,0
621,Tombaugh's,816,1262,216,30,2,924.0,1277.0,0.020804438280166437,0.11368421052631579,0
622,task,1059,1262,84,24,2,1101.0,1274.0,0.016643550624133148,0.04421052631578947,0
623,was,1166,1268,64,18,2,1198.0,1277.0,0.012482662968099861,0.03368421052631579,0
624,to,1257,1265,39,21,2,1276.5,1275.5,0.014563106796116505,0.020526315789473684,0
625,systematically,1323,1261,304,30,2,1475.0,1276.0,0.020804438280166437,0.16,0
626,image,1654,1261,104,31,2,1706.0,1276.5,0.021497919556171984,0.05473684210526316,0
627,the,1785,1262,61,24,2,1815.5,1274.0,0.016643550624133148,0.032105263157894734,0
628,night,1,1351,107,31,2,54.5,1366.5,0.021497919556171984,0.05631578947368421,0
629,sky,135,1352,62,29,2,166.0,1366.5,0.02011095700416089,0.03263157894736842,0
630,in,224,1351,40,25,2,244.0,1363.5,0.017337031900138695,0.021052631578947368,0
631,pairs,286,1351,108,31,2,340.0,1366.5,0.021497919556171984,0.056842105263157895,0
632,of,420,1353,39,23,2,439.5,1364.5,0.0159500693481276,0.020526315789473684,0
633,"photographs,",484,1352,256,30,2,612.0,1367.0,0.020804438280166437,0.13473684210526315,0
634,then,773,1352,85,24,2,815.5,1364.0,0.016643550624133148,0.04473684210526316,0
635,examine,882,1351,150,25,2,957.0,1363.5,0.017337031900138695,0.07894736842105263,0
636,each,1058,1352,86,24,2,1101.0,1364.0,0.016643550624133148,0.045263157894736845,0
637,pair,1166,1351,85,31,2,1208.5,1366.5,0.021497919556171984,0.04473684210526316,0
638,and,1278,1352,64,24,2,1310.0,1364.0,0.016643550624133148,0.03368421052631579,0
